medias,minimos
43.896,18.848
41.190,9.797
40.472,9.797
37.040,13.599
31.694,11.295
33.230,11.295
34.206,11.295
30.310,7.337
30.848,13.663
28.837,13.663
28.883,14.650
27.658,5.643
25.897,5.643
26.774,8.683
28.695,10.675
29.090,10.675
29.669,13.489
29.265,13.489
27.957,13.489
30.141,11.604
27.048,5.807
26.647,5.830
24.192,5.830
26.036,6.025
26.085,6.291
24.831,6.291
22.429,6.291
21.828,7.015
23.704,4.977
22.737,4.977
26.671,4.977
25.650,4.977
24.475,4.977
23.964,4.977
24.459,4.977
24.368,4.977
23.224,4.977
22.522,4.976
21.934,4.976
23.281,4.976
22.738,4.983
20.750,5.144
21.602,5.144
26.173,9.467
25.932,6.004
25.935,5.704
26.146,5.704
22.499,5.210
22.601,5.925
20.734,4.981
18.870,5.000
17.957,5.000
22.040,4.975
21.757,4.975
21.055,4.975
20.242,5.265
19.064,6.091
19.358,4.975
19.180,4.975
18.858,5.043
20.020,5.770
19.670,5.017
17.479,4.981
18.378,4.981
19.360,4.981
21.203,4.981
18.265,5.067
18.842,4.976
18.726,4.828
20.115,4.828
19.456,4.828
20.464,4.828
22.787,4.976
26.183,5.668
27.509,5.668
24.364,5.668
26.439,5.668
26.008,5.990
26.750,5.990
25.856,7.020
25.231,5.744
22.670,5.664
23.470,5.664
22.039,5.664
19.230,5.664
19.387,5.552
18.682,5.033
22.011,5.033
20.282,5.033
20.371,5.008
21.763,5.008
19.346,5.008
20.370,5.008
22.809,9.248
22.732,5.376
21.157,5.376
23.144,7.971
21.025,7.419
21.129,7.971
20.647,2.401
22.283,6.087
21.409,6.087
21.856,8.119
22.343,9.710
22.178,3.775
23.768,2.116
23.288,2.116
22.054,2.116
22.980,3.696
23.533,3.696
22.023,3.062
20.005,2.532
19.216,2.532
18.595,2.532
19.381,2.532
20.887,2.532
20.463,2.532
22.918,2.965
19.570,2.709
17.807,2.709
19.967,2.334
16.432,2.656
16.476,4.275
16.500,4.275
19.159,2.161
23.120,3.490
21.547,3.490
20.745,3.490
19.155,3.427
18.732,3.204
20.319,2.090
18.467,2.090
19.235,2.090
17.488,2.052
19.828,2.052
19.284,2.359
19.553,2.936
21.627,2.936
21.018,5.474
22.692,6.706
20.414,6.706
19.956,6.706
21.101,6.706
18.916,2.279
22.182,2.279
19.173,2.046
20.655,2.046
21.232,2.046
20.288,2.046
22.242,2.046
23.965,2.279
25.033,2.878
25.090,2.076
23.779,2.076
20.073,2.060
17.445,2.051
19.913,2.051
20.500,2.051
15.709,2.051
15.008,2.051
15.501,2.051
17.742,2.051
20.781,2.616
18.468,2.040
18.780,3.217
19.172,2.375
13.730,2.153
12.504,2.072
12.566,2.072
13.198,2.072
14.247,2.134
15.136,2.036
12.982,2.025
14.571,2.036
14.951,2.036
12.792,2.036
14.090,2.036
13.159,2.013
12.871,2.001
16.628,1.997
18.969,2.001
20.225,2.075
17.569,2.075
19.314,2.113
