medias,minimos
43.307,17.100
44.122,19.825
44.842,16.048
45.134,12.894
45.197,10.536
45.060,9.092
44.825,8.619
44.202,9.106
43.207,10.480
41.988,12.608
40.666,13.215
39.342,12.546
38.010,12.940
36.789,14.614
35.715,17.116
34.765,14.054
33.935,11.036
33.261,8.870
32.743,7.758
32.402,7.607
32.279,8.365
32.439,6.080
32.785,4.447
33.197,3.659
33.672,3.793
34.171,4.875
34.643,6.883
35.118,9.717
35.491,13.210
35.757,17.180
35.864,20.927
35.873,18.404
35.772,15.976
35.719,13.663
35.802,10.527
35.926,7.606
36.025,5.210
35.968,3.569
35.700,2.839
35.201,3.090
34.404,4.297
33.365,6.340
32.205,9.023
31.004,12.089
29.717,11.194
28.518,9.534
27.368,8.466
26.279,8.173
25.318,8.763
24.396,8.125
23.727,6.624
23.272,5.906
22.891,5.923
22.708,6.649
22.601,8.111
22.667,9.499
22.897,7.382
23.220,6.047
23.703,5.684
24.341,6.287
25.088,7.852
26.017,10.255
27.099,13.324
28.238,15.374
29.245,16.352
30.173,17.252
31.062,18.159
31.641,18.643
32.083,18.067
32.388,16.407
32.685,15.358
32.913,14.813
33.204,15.159
33.392,16.224
33.229,18.023
32.758,20.551
32.076,19.963
31.180,16.911
30.109,13.765
28.917,11.142
27.496,9.048
25.950,7.678
24.300,7.045
22.792,7.190
21.478,8.168
20.460,6.174
19.734,4.249
19.436,3.138
19.529,3.003
19.982,3.857
20.778,5.793
21.839,5.797
22.996,4.005
24.152,3.082
25.171,3.095
26.015,4.067
26.590,5.888
26.868,4.499
26.817,4.099
26.495,4.668
25.909,6.141
25.131,8.354
24.197,7.270
23.153,5.979
22.016,5.528
20.861,6.053
19.698,3.881
18.597,1.934
17.687,0.914
16.986,0.866
16.643,1.763
16.623,3.516
16.915,5.972
17.459,4.861
18.140,3.507
18.845,3.116
19.517,3.669
20.040,5.001
20.358,6.996
20.447,5.791
20.362,3.804
20.053,2.692
19.544,2.498
18.916,3.271
18.264,4.928
17.707,7.358
17.331,10.362
17.236,6.901
17.433,4.122
17.846,2.210
18.471,1.264
19.288,1.308
20.006,2.340
20.624,4.255
20.879,6.926
20.838,7.623
20.545,7.524
19.902,7.589
18.946,7.707
17.789,7.972
16.694,5.503
15.735,3.836
15.068,3.112
14.763,3.072
14.856,3.206
15.283,3.842
16.040,5.507
17.024,7.762
18.132,9.331
19.188,10.916
20.096,11.085
20.741,9.946
21.088,9.424
20.997,9.395
20.540,6.643
19.781,4.375
18.738,2.803
17.627,2.112
16.700,2.373
15.951,3.421
15.408,1.888
15.237,0.673
15.316,0.107
15.566,0.523
15.915,1.890
16.431,3.787
17.134,1.953
18.032,1.048
19.102,1.112
20.249,2.102
21.383,3.908
22.306,6.353
22.888,9.251
23.121,7.473
22.936,5.473
22.358,4.303
21.362,4.044
20.075,4.765
18.608,6.562
17.068,6.687
15.575,5.087
14.256,4.227
13.291,4.012
12.731,4.461
12.747,3.791
13.237,2.240
14.300,1.647
15.846,2.104
17.792,2.403
19.935,2.533
22.049,3.439
23.980,5.169
25.652,7.642
26.959,10.725
27.783,14.240
28.189,11.330
28.229,9.016
27.979,8.373
27.604,9.036
26.983,10.891
26.153,9.443
25.224,7.089
24.199,5.433
23.288,4.594
22.551,4.903
22.072,6.471
21.918,9.197
22.090,12.658
22.507,13.938
23.176,14.414
24.012,16.326
24.825,17.421
25.558,15.195
26.119,12.102
26.460,8.831
26.501,5.861
26.272,3.533
25.822,2.147
25.160,0.752
24.364,0.303
23.515,0.836
22.694,2.294
21.984,3.208
21.454,1.720
21.139,1.089
21.065,1.391
21.255,2.626
21.632,4.753
22.112,7.663
22.660,11.220
23.130,12.515
23.442,8.835
23.645,5.681
23.632,3.241
23.398,1.663
22.938,1.024
22.280,1.341
21.494,2.554
20.668,1.985
19.897,1.725
19.279,2.456
18.882,4.101
18.777,6.457
18.988,9.433
19.567,12.925
20.471,14.628
21.603,13.004
22.823,11.470
23.982,10.164
24.950,9.303
25.660,9.175
25.938,9.903
25.809,11.474
25.286,9.804
24.459,7.450
23.640,5.594
22.780,4.033
22.017,3.069
21.286,2.919
20.558,3.454
19.857,4.809
19.143,6.758
18.491,8.519
17.931,10.258
17.472,11.539
17.159,12.013
16.912,9.061
16.778,6.170
16.857,3.722
17.128,1.994
17.631,1.148
18.358,1.174
19.232,1.564
20.264,2.847
21.349,4.971
22.344,7.822
23.163,7.809
23.770,4.904
24.066,2.693
24.023,1.343
23.665,0.923
23.003,1.434
22.131,2.829
21.072,4.928
19.851,6.151
18.635,4.115
17.508,2.983
16.492,2.682
15.686,3.217
15.118,1.468
14.835,0.580
14.786,0.642
15.091,0.341
15.639,0.804
16.499,2.193
17.546,4.368
18.665,7.119
19.825,5.160
20.840,3.327
21.654,2.305
22.385,2.419
22.975,3.422
23.428,5.194
23.665,7.699
23.770,9.986
23.680,10.437
23.374,11.568
22.884,13.121
22.230,10.678
21.463,8.453
20.553,6.688
19.742,5.597
18.953,5.431
18.191,4.308
17.532,3.031
16.940,2.735
16.535,3.503
16.380,4.805
16.470,5.952
16.793,6.151
17.280,4.578
17.832,3.584
18.428,3.355
18.954,3.901
19.419,5.191
19.780,3.889
20.023,1.700
20.042,0.417
19.929,0.104
19.747,0.773
19.657,2.386
19.551,4.865
19.637,7.058
19.886,7.185
20.250,8.198
20.681,7.928
21.182,7.834
21.687,8.560
22.160,7.458
22.505,4.694
22.764,2.979
22.836,2.385
22.692,2.771
22.288,3.707
21.703,2.081
21.013,1.407
20.206,1.543
19.439,1.251
18.771,1.866
18.289,3.348
18.040,5.603
18.029,7.920
18.321,6.761
18.882,6.761
19.726,8.400
20.762,11.009
21.795,11.404
22.741,8.187
23.513,5.251
24.068,2.868
24.468,1.264
24.810,0.585
25.112,0.888
25.323,2.132
25.447,4.188
25.426,2.961
25.213,1.142
24.818,0.214
24.230,0.262
23.492,1.277
22.672,3.158
21.816,5.720
20.966,8.716
20.203,11.853
19.538,9.594
18.996,6.502
18.548,3.792
18.158,1.709
17.722,0.443
17.288,0.124
16.826,0.788
16.395,2.384
15.976,2.113
15.613,0.919
15.348,0.635
15.271,1.303
15.504,2.886
15.999,3.524
16.755,4.218
17.720,5.769
18.776,7.185
19.834,7.882
20.719,5.682
21.318,3.448
21.561,1.894
21.412,1.163
20.935,1.372
20.198,2.539
19.244,4.620
18.275,7.482
17.467,6.479
16.997,5.289
16.972,3.043
17.397,1.627
18.267,1.200
19.519,1.860
21.040,2.516
22.657,2.629
24.196,3.661
25.477,5.526
26.411,8.013
26.965,10.841
27.132,13.721
26.872,16.365
26.089,18.531
24.868,19.940
23.272,16.120
21.408,12.361
19.432,8.758
17.535,5.769
15.873,3.390
14.544,1.864
13.681,0.495
13.303,0.081
13.444,0.653
13.998,2.181
14.915,3.565
16.094,1.464
17.397,0.276
18.708,0.062
19.870,0.832
20.830,2.545
21.535,5.113
22.009,8.404
22.277,7.103
22.380,4.594
22.382,2.904
22.387,2.057
22.387,2.098
22.403,2.964
22.458,2.837
22.567,1.128
22.666,0.352
22.715,0.552
22.667,1.697
22.520,3.672
22.157,6.295
21.553,3.794
20.705,2.142
19.716,1.425
18.715,1.680
17.872,2.304
17.294,2.356
17.107,3.579
17.346,5.755
17.968,8.598
18.872,7.863
19.905,6.410
20.942,5.426
21.798,5.058
22.465,5.439
22.895,6.626
23.075,8.579
22.967,11.191
22.584,13.545
21.995,11.283
21.284,9.144
20.507,7.592
19.766,6.824
19.141,6.827
18.717,7.760
18.435,6.942
18.305,6.165
18.314,3.908
18.329,2.155
18.351,1.624
18.333,1.704
18.277,1.806
18.127,2.769
17.974,4.588
17.827,4.700
17.650,3.771
17.475,4.250
17.328,3.142
17.224,1.214
17.195,0.170
17.266,0.096
17.489,1.001
17.820,2.764
18.259,5.192
18.832,4.327
19.441,3.931
20.023,4.471
20.561,4.140
20.996,2.799
21.405,2.250
21.724,1.522
21.988,1.437
22.150,2.231
22.236,3.834
